Country,ISO3 Code,Date,Price (EUR/MWhe)
Austria,AUT,2015-06-17,31.52
Austria,AUT,2015-06-18,32.56
Austria,AUT,2015-06-19,32.63
Austria,AUT,2015-06-20,27.59
Austria,AUT,2015-06-21,23.49
Austria,AUT,2015-06-22,33.45
Austria,AUT,2015-06-23,31.61
Austria,AUT,2015-06-24,31.12
Austria,AUT,2015-06-25,36.55
Austria,AUT,2015-06-26,36.04
Austria,AUT,2015-06-27,28.64
Austria,AUT,2015-06-28,21.94
Austria,AUT,2015-06-29,35.96
Austria,AUT,2015-06-30,35.63
Austria,AUT,2015-07-01,33.42
Austria,AUT,2015-07-02,34.02
Austria,AUT,2015-07-03,45.13
Austria,AUT,2015-07-04,33.25
Austria,AUT,2015-07-05,28.0
Austria,AUT,2015-07-06,38.69
Austria,AUT,2015-07-07,47.51
Austria,AUT,2015-07-08,29.37
Austria,AUT,2015-07-09,28.8
Austria,AUT,2015-07-10,33.18
Austria,AUT,2015-07-11,32.64
Austria,AUT,2015-07-12,27.74
Austria,AUT,2015-07-13,40.97
Austria,AUT,2015-07-14,42.38
Austria,AUT,2015-07-15,47.61
Austria,AUT,2015-07-16,45.38
Austria,AUT,2015-07-17,38.4
Austria,AUT,2015-07-18,37.48
Austria,AUT,2015-07-19,28.68
Austria,AUT,2015-07-20,42.88
Austria,AUT,2015-07-21,45.61
Austria,AUT,2015-07-22,46.54
Austria,AUT,2015-07-23,47.47
Austria,AUT,2015-07-24,43.98
Austria,AUT,2015-07-25,13.85
Austria,AUT,2015-07-26,13.17
Austria,AUT,2015-07-27,30.68
Austria,AUT,2015-07-28,24.75
Austria,AUT,2015-07-29,27.04
Austria,AUT,2015-07-30,25.15
Austria,AUT,2015-07-31,30.58
Austria,AUT,2015-08-01,21.75
Austria,AUT,2015-08-02,17.58
Austria,AUT,2015-08-03,29.46
Austria,AUT,2015-08-04,33.47
Austria,AUT,2015-08-05,34.76
Austria,AUT,2015-08-06,34.48
Austria,AUT,2015-08-07,34.2
Austria,AUT,2015-08-08,28.02
Austria,AUT,2015-08-09,27.21
Austria,AUT,2015-08-10,34.36
Austria,AUT,2015-08-11,38.78
Austria,AUT,2015-08-12,37.53
Austria,AUT,2015-08-13,33.8
Austria,AUT,2015-08-14,30.97
Austria,AUT,2015-08-15,32.42
Austria,AUT,2015-08-16,29.92
Austria,AUT,2015-08-17,40.41
Austria,AUT,2015-08-18,37.84
Austria,AUT,2015-08-19,39.39
Austria,AUT,2015-08-20,36.9
Austria,AUT,2015-08-21,32.56
Austria,AUT,2015-08-22,26.38
Austria,AUT,2015-08-23,16.64
Austria,AUT,2015-08-24,30.83
Austria,AUT,2015-08-25,26.75
Austria,AUT,2015-08-26,28.64
Austria,AUT,2015-08-27,31.88
Austria,AUT,2015-08-28,41.32
Austria,AUT,2015-08-29,29.7
Austria,AUT,2015-08-30,26.6
Austria,AUT,2015-08-31,35.45
Austria,AUT,2015-09-01,39.11
Austria,AUT,2015-09-02,37.84
Austria,AUT,2015-09-03,40.62
Austria,AUT,2015-09-04,32.67
Austria,AUT,2015-09-05,17.75
Austria,AUT,2015-09-06,2.87
Austria,AUT,2015-09-07,33.54
Austria,AUT,2015-09-08,35.48
Austria,AUT,2015-09-09,34.37
Austria,AUT,2015-09-10,33.61
Austria,AUT,2015-09-11,34.18
Austria,AUT,2015-09-12,29.38
Austria,AUT,2015-09-13,26.16
Austria,AUT,2015-09-14,33.55
Austria,AUT,2015-09-15,28.91
Austria,AUT,2015-09-16,33.19
Austria,AUT,2015-09-17,28.12
Austria,AUT,2015-09-18,37.06
Austria,AUT,2015-09-19,29.98
Austria,AUT,2015-09-20,22.28
Austria,AUT,2015-09-21,36.81
Austria,AUT,2015-09-22,33.71
Austria,AUT,2015-09-23,42.98
Austria,AUT,2015-09-24,31.95
Austria,AUT,2015-09-25,35.75
Austria,AUT,2015-09-26,32.68
Austria,AUT,2015-09-27,25.77
Austria,AUT,2015-09-28,34.83
Austria,AUT,2015-09-29,34.34
Austria,AUT,2015-09-30,37.17
Austria,AUT,2015-10-01,39.11
Austria,AUT,2015-10-02,37.59
Austria,AUT,2015-10-03,28.92
Austria,AUT,2015-10-04,31.17
Austria,AUT,2015-10-05,39.17
Austria,AUT,2015-10-06,37.31
Austria,AUT,2015-10-07,40.8
Austria,AUT,2015-10-08,47.32
Austria,AUT,2015-10-09,44.16
Austria,AUT,2015-10-10,32.71
Austria,AUT,2015-10-11,22.07
Austria,AUT,2015-10-12,35.57
Austria,AUT,2015-10-13,42.16
Austria,AUT,2015-10-14,44.79
Austria,AUT,2015-10-15,39.67
Austria,AUT,2015-10-16,47.75
Austria,AUT,2015-10-17,40.29
Austria,AUT,2015-10-18,37.77
Austria,AUT,2015-10-19,50.46
Austria,AUT,2015-10-20,48.35
Austria,AUT,2015-10-21,41.3
Austria,AUT,2015-10-22,37.14
Austria,AUT,2015-10-23,38.29
Austria,AUT,2015-10-24,32.45
Austria,AUT,2015-10-25,33.73
Austria,AUT,2015-10-26,39.37
Austria,AUT,2015-10-27,40.55
Austria,AUT,2015-10-28,42.3
Austria,AUT,2015-10-29,49.68
Austria,AUT,2015-10-30,43.07
Austria,AUT,2015-10-31,35.41
Austria,AUT,2015-11-01,31.68
Austria,AUT,2015-11-02,40.2
Austria,AUT,2015-11-03,41.61
Austria,AUT,2015-11-04,42.26
Austria,AUT,2015-11-05,43.85
Austria,AUT,2015-11-06,36.61
Austria,AUT,2015-11-07,27.74
Austria,AUT,2015-11-08,21.94
Austria,AUT,2015-11-09,28.42
Austria,AUT,2015-11-10,29.46
Austria,AUT,2015-11-11,35.02
Austria,AUT,2015-11-12,36.65
Austria,AUT,2015-11-13,31.52
Austria,AUT,2015-11-14,21.05
Austria,AUT,2015-11-15,23.85
Austria,AUT,2015-11-16,30.49
Austria,AUT,2015-11-17,30.66
Austria,AUT,2015-11-18,20.99
Austria,AUT,2015-11-19,25.48
Austria,AUT,2015-11-20,38.2
Austria,AUT,2015-11-21,29.6
Austria,AUT,2015-11-22,25.95
Austria,AUT,2015-11-23,49.87
Austria,AUT,2015-11-24,35.01
Austria,AUT,2015-11-25,41.96
Austria,AUT,2015-11-26,51.18
Austria,AUT,2015-11-27,36.52
Austria,AUT,2015-11-28,26.74
Austria,AUT,2015-11-29,11.23
Austria,AUT,2015-11-30,25.7
Austria,AUT,2015-12-01,35.85
Austria,AUT,2015-12-02,36.59
Austria,AUT,2015-12-03,42.34
Austria,AUT,2015-12-04,30.43
Austria,AUT,2015-12-05,23.4
Austria,AUT,2015-12-06,18.03
Austria,AUT,2015-12-07,40.64
Austria,AUT,2015-12-08,34.67
Austria,AUT,2015-12-09,34.82
Austria,AUT,2015-12-10,29.31
Austria,AUT,2015-12-11,26.36
Austria,AUT,2015-12-12,25.59
Austria,AUT,2015-12-13,27.87
Austria,AUT,2015-12-14,41.8
Austria,AUT,2015-12-15,42.74
Austria,AUT,2015-12-16,36.65
Austria,AUT,2015-12-17,32.59
Austria,AUT,2015-12-18,32.54
Austria,AUT,2015-12-19,26.64
Austria,AUT,2015-12-20,17.38
Austria,AUT,2015-12-21,23.36
Austria,AUT,2015-12-22,18.23
Austria,AUT,2015-12-23,20.17
Austria,AUT,2015-12-24,16.19
Austria,AUT,2015-12-25,13.66
Austria,AUT,2015-12-26,6.88
Austria,AUT,2015-12-27,16.18
Austria,AUT,2015-12-28,30.47
Austria,AUT,2015-12-29,31.21
Austria,AUT,2015-12-30,26.43
Austria,AUT,2015-12-31,22.35
Austria,AUT,2016-01-01,24.88
Austria,AUT,2016-01-02,17.5
Austria,AUT,2016-01-03,14.43
Austria,AUT,2016-01-04,27.94
Austria,AUT,2016-01-05,33.46
Austria,AUT,2016-01-06,33.6
Austria,AUT,2016-01-07,32.8
Austria,AUT,2016-01-08,27.55
Austria,AUT,2016-01-09,28.46
Austria,AUT,2016-01-10,20.83
Austria,AUT,2016-01-11,33.6
Austria,AUT,2016-01-12,29.42
Austria,AUT,2016-01-13,29.3
Austria,AUT,2016-01-14,33.61
Austria,AUT,2016-01-15,35.51
Austria,AUT,2016-01-16,28.06
Austria,AUT,2016-01-17,27.7
Austria,AUT,2016-01-18,39.2
Austria,AUT,2016-01-19,47.96
Austria,AUT,2016-01-20,48.88
Austria,AUT,2016-01-21,52.11
Austria,AUT,2016-01-22,33.14
Austria,AUT,2016-01-23,28.26
Austria,AUT,2016-01-24,26.15
Austria,AUT,2016-01-25,28.35
Austria,AUT,2016-01-26,25.12
Austria,AUT,2016-01-27,19.35
Austria,AUT,2016-01-28,26.08
Austria,AUT,2016-01-29,22.35
Austria,AUT,2016-01-30,11.82
Austria,AUT,2016-01-31,12.38
Austria,AUT,2016-02-01,20.74
Austria,AUT,2016-02-02,16.97
Austria,AUT,2016-02-03,23.05
Austria,AUT,2016-02-04,26.64
Austria,AUT,2016-02-05,27.59
Austria,AUT,2016-02-06,15.75
Austria,AUT,2016-02-07,9.98
Austria,AUT,2016-02-08,12.39
Austria,AUT,2016-02-09,17.53
Austria,AUT,2016-02-10,24.52
Austria,AUT,2016-02-11,25.93
Austria,AUT,2016-02-12,28.57
Austria,AUT,2016-02-13,22.55
Austria,AUT,2016-02-14,15.51
Austria,AUT,2016-02-15,24.77
Austria,AUT,2016-02-16,32.23
Austria,AUT,2016-02-17,26.16
Austria,AUT,2016-02-18,27.91
Austria,AUT,2016-02-19,27.21
Austria,AUT,2016-02-20,13.82
Austria,AUT,2016-02-21,8.33
Austria,AUT,2016-02-22,20.14
Austria,AUT,2016-02-23,24.53
Austria,AUT,2016-02-24,24.2
Austria,AUT,2016-02-25,27.78
Austria,AUT,2016-02-26,28.05
Austria,AUT,2016-02-27,22.71
Austria,AUT,2016-02-28,18.3
Austria,AUT,2016-02-29,24.08
Austria,AUT,2016-03-01,24.5
Austria,AUT,2016-03-02,24.44
Austria,AUT,2016-03-03,28.28
Austria,AUT,2016-03-04,24.76
Austria,AUT,2016-03-05,23.19
Austria,AUT,2016-03-06,21.39
Austria,AUT,2016-03-07,29.44
Austria,AUT,2016-03-08,28.42
Austria,AUT,2016-03-09,25.58
Austria,AUT,2016-03-10,26.25
Austria,AUT,2016-03-11,28.21
Austria,AUT,2016-03-12,27.71
Austria,AUT,2016-03-13,22.75
Austria,AUT,2016-03-14,27.4
Austria,AUT,2016-03-15,27.15
Austria,AUT,2016-03-16,25.49
Austria,AUT,2016-03-17,27.52
Austria,AUT,2016-03-18,25.37
Austria,AUT,2016-03-19,24.31
Austria,AUT,2016-03-20,18.01
Austria,AUT,2016-03-21,25.28
Austria,AUT,2016-03-22,28.47
Austria,AUT,2016-03-23,26.47
Austria,AUT,2016-03-24,27.86
Austria,AUT,2016-03-25,25.63
Austria,AUT,2016-03-26,19.23
Austria,AUT,2016-03-27,10.55
Austria,AUT,2016-03-28,1.5
Austria,AUT,2016-03-29,23.16
Austria,AUT,2016-03-30,27.14
Austria,AUT,2016-03-31,27.81
Austria,AUT,2016-04-01,27.63
Austria,AUT,2016-04-02,21.27
Austria,AUT,2016-04-03,17.81
Austria,AUT,2016-04-04,27.21
Austria,AUT,2016-04-05,26.75
Austria,AUT,2016-04-06,22.34
Austria,AUT,2016-04-07,23.35
Austria,AUT,2016-04-08,28.66
Austria,AUT,2016-04-09,23.66
Austria,AUT,2016-04-10,18.84
Austria,AUT,2016-04-11,24.22
Austria,AUT,2016-04-12,28.34
Austria,AUT,2016-04-13,28.57
Austria,AUT,2016-04-14,26.66
Austria,AUT,2016-04-15,25.14
Austria,AUT,2016-04-16,18.73
Austria,AUT,2016-04-17,18.71
Austria,AUT,2016-04-18,23.77
Austria,AUT,2016-04-19,20.54
Austria,AUT,2016-04-20,24.12
Austria,AUT,2016-04-21,26.57
Austria,AUT,2016-04-22,26.06
Austria,AUT,2016-04-23,21.9
Austria,AUT,2016-04-24,16.0
Austria,AUT,2016-04-25,26.43
Austria,AUT,2016-04-26,27.11
Austria,AUT,2016-04-27,26.13
Austria,AUT,2016-04-28,30.1
Austria,AUT,2016-04-29,25.53
Austria,AUT,2016-04-30,24.17
Austria,AUT,2016-05-01,18.71
Austria,AUT,2016-05-02,28.02
Austria,AUT,2016-05-03,28.22
Austria,AUT,2016-05-04,27.39
Austria,AUT,2016-05-05,19.21
Austria,AUT,2016-05-06,22.4
Austria,AUT,2016-05-07,14.25
Austria,AUT,2016-05-08,-12.78
Austria,AUT,2016-05-09,22.26
Austria,AUT,2016-05-10,27.01
Austria,AUT,2016-05-11,24.84
Austria,AUT,2016-05-12,25.6
Austria,AUT,2016-05-13,26.63
Austria,AUT,2016-05-14,13.1
Austria,AUT,2016-05-15,7.47
Austria,AUT,2016-05-16,21.59
Austria,AUT,2016-05-17,30.1
Austria,AUT,2016-05-18,30.57
Austria,AUT,2016-05-19,33.37
Austria,AUT,2016-05-20,27.65
Austria,AUT,2016-05-21,21.0
Austria,AUT,2016-05-22,6.29
Austria,AUT,2016-05-23,29.24
Austria,AUT,2016-05-24,29.49
Austria,AUT,2016-05-25,30.7
Austria,AUT,2016-05-26,27.46
Austria,AUT,2016-05-27,28.9
Austria,AUT,2016-05-28,22.79
Austria,AUT,2016-05-29,13.51
Austria,AUT,2016-05-30,25.17
Austria,AUT,2016-05-31,28.92
Austria,AUT,2016-06-01,30.33
Austria,AUT,2016-06-02,28.9
Austria,AUT,2016-06-03,29.13
Austria,AUT,2016-06-04,25.13
Austria,AUT,2016-06-05,20.36
Austria,AUT,2016-06-06,30.55
Austria,AUT,2016-06-07,29.19
Austria,AUT,2016-06-08,28.9
Austria,AUT,2016-06-09,30.66
Austria,AUT,2016-06-10,26.4
Austria,AUT,2016-06-11,26.0
Austria,AUT,2016-06-12,22.4
Austria,AUT,2016-06-13,29.58
Austria,AUT,2016-06-14,30.31
Austria,AUT,2016-06-15,30.61
Austria,AUT,2016-06-16,30.48
Austria,AUT,2016-06-17,27.87
Austria,AUT,2016-06-18,21.58
Austria,AUT,2016-06-19,17.85
Austria,AUT,2016-06-20,27.0
Austria,AUT,2016-06-21,33.31
Austria,AUT,2016-06-22,32.48
Austria,AUT,2016-06-23,29.28
Austria,AUT,2016-06-24,30.94
Austria,AUT,2016-06-25,26.77
Austria,AUT,2016-06-26,16.96
Austria,AUT,2016-06-27,28.03
Austria,AUT,2016-06-28,32.87
Austria,AUT,2016-06-29,27.42
Austria,AUT,2016-06-30,29.86
Austria,AUT,2016-07-01,26.62
Austria,AUT,2016-07-02,20.43
Austria,AUT,2016-07-03,15.12
Austria,AUT,2016-07-04,31.18
Austria,AUT,2016-07-05,25.33
Austria,AUT,2016-07-06,17.76
Austria,AUT,2016-07-07,29.6
Austria,AUT,2016-07-08,28.0
Austria,AUT,2016-07-09,20.57
Austria,AUT,2016-07-10,15.27
Austria,AUT,2016-07-11,25.56
Austria,AUT,2016-07-12,30.12
Austria,AUT,2016-07-13,32.23
Austria,AUT,2016-07-14,24.87
Austria,AUT,2016-07-15,26.52
Austria,AUT,2016-07-16,24.6
Austria,AUT,2016-07-17,21.68
Austria,AUT,2016-07-18,30.02
Austria,AUT,2016-07-19,32.42
Austria,AUT,2016-07-20,29.38
Austria,AUT,2016-07-21,32.93
Austria,AUT,2016-07-22,32.0
Austria,AUT,2016-07-23,29.38
Austria,AUT,2016-07-24,27.05
Austria,AUT,2016-07-25,33.15
Austria,AUT,2016-07-26,32.95
Austria,AUT,2016-07-27,33.42
Austria,AUT,2016-07-28,31.7
Austria,AUT,2016-07-29,30.15
Austria,AUT,2016-07-30,27.53
Austria,AUT,2016-07-31,25.08
Austria,AUT,2016-08-01,29.92
Austria,AUT,2016-08-02,32.44
Austria,AUT,2016-08-03,29.08
Austria,AUT,2016-08-04,28.26
Austria,AUT,2016-08-05,31.6
Austria,AUT,2016-08-06,24.08
Austria,AUT,2016-08-07,15.09
Austria,AUT,2016-08-08,21.68
Austria,AUT,2016-08-09,28.75
Austria,AUT,2016-08-10,28.18
Austria,AUT,2016-08-11,28.83
Austria,AUT,2016-08-12,27.8
Austria,AUT,2016-08-13,18.93
Austria,AUT,2016-08-14,21.9
Austria,AUT,2016-08-15,28.07
Austria,AUT,2016-08-16,29.61
Austria,AUT,2016-08-17,29.79
Austria,AUT,2016-08-18,30.8
Austria,AUT,2016-08-19,30.62
